case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CC_500_8,CC,False,Bend45,8591,0.6077290187405424,57.714174150967565,0.3046211151204749,472.71585710000306,1351.58801
CC_500_8,CC,False,Bend60,8614,0.6433712560947296,53.30704701585275,0.2560947295100998,504.40279573000606,1669.53247
CC_500_8,CC,False,Bend90,8740,0.6792906178489703,28.6578281996682,0.26235697940503433,152.6717799600012,222.545746
CC_500_8,CC,False,BendEnd,8740,0.6792906178489703,28.6578281996682,0.26235697940503433,152.6717799600012,222.545746
CC_500_8,CC,False,BendStart,8740,0.88558352402746,55.35273165383625,0.5664759725400458,626.0132881500055,2039.88245
CC_500_8,CC,False,ConeEnd,8456,0.7075449385052034,25.187016310388977,0.4645222327341533,49.64696484000008,56.5736465
CC_500_8,CC,False,GVEnd,8449,0.4078589182151734,2075.496775172504,0.3970884128299207,13364.871184000054,35488.3945
CC_500_8,CC,False,GVEnd z680,47473,0.37591894339940596,8699.057488639895,0.3687780422555979,56831.06970799999,199994.969
CC_500_8,CC,False,GVEnd2,8449,0.4383950763403953,316.180075420743,0.3884483370813114,1448.3499000000002,3778.43994
CC_500_8,CC,False,GVEnd3,8546,0.6095249239410251,93.86386382480431,0.39538965597940556,453.161354449999,1434.59412
CC_500_8,CC,False,GVEnd4,8620,0.7088167053364269,39.20028516037789,0.39477958236658933,194.22308974999982,243.943314
CC_500_8,CC,False,GVEnd5,8460,0.6611111111111111,37.22927319775393,0.43605200945626477,94.06195725799999,116.903114
CC_500_8,CC,False,GVEnd6,8449,0.7881406083560185,28.800734572261305,0.497692034560303,70.015814844,73.5095291
CC_500_8,CC,False,GVStart,31537,0.6545644798173574,2539.4119235659437,0.6472080413482576,19884.188839999984,29890.2676
CC_500_8,CC,False,RDTStart,2545,0.11080550098231827,10.39224044632553,0.023968565815324167,30.660890008,39.361248
CC_500_8,CC,True,Bend00,8740,0.7853546910755149,67.08401129272701,0.2506864988558352,895.8596785200025,2639.8999
CC_500_8,CC,True,Bend30,8614,0.2721151613652194,148.08220948226517,0.1848154167634084,967.7248572400009,2588.44092
CC_500_8,CC,True,Bend45,8591,0.35269468047957164,131.70058586515515,0.24048422768013036,977.6866517000014,2308.16577
CC_500_8,CC,True,Bend60,8614,0.4073601114464825,103.75249401665062,0.237055955421407,817.2920754400008,1942.82544
CC_500_8,CC,True,Bend90,8740,0.5551487414187642,29.343088928494932,0.2543478260869565,110.30972497000005,125.047752
CC_500_8,CC,True,BendEnd,8740,0.5551487414187642,29.343088928494932,0.2543478260869565,110.30972497000005,125.047752
CC_500_8,CC,True,BendStart,8740,0.7853546910755149,60.36942093923146,0.2506864988558352,773.0040346600006,2639.8999
CC_500_8,CC,True,ConeEnd,8456,0.6957190160832545,13.643497463757363,0.14474929044465468,41.72072144500004,44.7026672
CC_500_8,CC,True,GVEnd,8449,0.36051603740087584,1769.244259063769,0.35081074683394486,9290.311326000026,21961.2617
CC_500_8,CC,True,GVEnd z680,47473,0.35643418364122764,7336.611328259499,0.3485770859225244,52463.44797599999,144173.922
CC_500_8,CC,True,GVEnd2,8449,0.4632500887679015,258.3747880508292,0.40987099064978105,1595.584160000005,4827.74658
CC_500_8,CC,True,GVEnd3,8546,0.4846711912005617,79.83196997600696,0.3544348233091505,297.8435379999999,570.894165
CC_500_8,CC,True,GVEnd4,8620,0.7040603248259861,34.477151690970516,0.3817865429234339,151.81593731999953,195.316986
CC_500_8,CC,True,GVEnd5,8460,0.6912529550827423,22.12752442470543,0.2801418439716312,91.44040893399995,134.317261
CC_500_8,CC,True,GVEnd6,8449,0.6759379808261333,13.734716058829465,0.1610841519706474,48.44186008400001,54.857254
CC_500_8,CC,True,GVStart,31537,0.585344198877509,2460.864018555773,0.5761169420046295,16369.416051999999,24087.7031
CC_500_8,CC,True,RDTStart,2545,0.05029469548133595,9.03594196528914,0.00550098231827112,12.074570787999887,77.9392395
CS_250_9,CS,False,Bend00,8740,0.6306636155606408,228.27556066654012,0.6048054919908467,512.3556496400001,842.601196
CS_250_9,CS,False,Bend30,8614,0.728465289064314,172.06561632894406,0.7061759925702346,452.1180667200003,478.869141
CS_250_9,CS,False,Bend45,8591,0.7642882085903853,161.33760484575706,0.7457804679315563,504.02022990000034,1146.4303
